t,M1,M2
1.0040160642570282,36.39078670739351,36.41201604690647
1.0080321285140563,36.632342134652866,36.6359577682175
1.0120481927710845,36.85903415979623,36.851121136608214
1.0160642570281124,37.06743430280088,37.05503342768104
1.0200803212851406,37.2546492033277,37.24566921250006
1.0240963855421688,37.418370864288775,37.42147929061337
1.028112449799197,37.55691462788473,37.58140885349479
1.0321285140562249,37.66924420793758,37.72490466599645
1.036144578313253,37.75498336698496,37.85191129014024
1.0401606425702812,37.81441409828286,37.96285660918783
1.0441767068273093,37.848461446013964,38.05862713540777
1.0481927710843375,37.858665366035446,38.140533797504865
1.0522088353413654,37.847140288950996,38.210269098819644
1.0562248995983936,37.816523291902826,38.26985671108097
1.0602409638554218,37.76991201032366,38.321594717148066
1.06425702811245,37.71079362147069,38.36799383682307
1.0682730923694779,37.642966403902705,38.411712060108634
1.072289156626506,37.57045551778264,38.455487170565156
1.0763052208835342,37.497424757277415,38.50206866674034
1.0803212851405624,37.42808609639642,38.554150581789116
1.0843373493975905,37.366608882126705,38.614306660884544
1.0883534136546185,37.31703052323526,38.68492928407274
1.0923694779116466,37.28317047995148,38.76817342075397
1.0963855421686748,37.26854928002693,38.865906773523356
1.100401606425703,37.276314172252036,38.97966711679119
1.104417670682731,37.30917288195691,39.110627663043054
1.108433734939759,37.36933675754987,39.25957110082091
1.1124497991967872,37.458474396545306,39.42687274786368
1.1164658634538154,37.57767661809398,39.61249305491333
1.1204819277108435,37.7274334114481,39.81597948516841
1.1244979919678715,37.90762324107321,40.036477585959766
1.1285140562248996,38.11751483445702,40.272750867552645
1.1325301204819278,38.35578132335347,40.52320891347141
1.136546184738956,38.62052635850715,40.7859429715321
1.140562248995984,38.909321576965375,41.05876811860754
1.144578313253012,39.21925457480538,41.339270958330765
1.1485943775100402,39.5469863310427,41.6248617022236
