t_normalized,forecast_method1_mnk,forecast_method2_optimality
1.0040160642570282,37.72159423015155,39.2714594767089
1.0080321285140563,37.88309212657776,39.433261915514095
1.0120481927710845,37.9961457729443,39.50049679740653
1.0160642570281124,38.07436970059561,39.449769901150354
1.0200803212851406,38.140894510481836,39.276702408777716
1.0240963855421688,38.22432131593124,38.997324787322775
1.028112449799197,38.35364554735826,38.645948797292725
1.0321285140562249,38.55298846478496,38.269869391137824
1.036144578313253,38.837011652239916,37.92180157966952
1.0401606425702812,39.20778324062817,37.65135311817506
1.0441767068273093,39.65363180400793,37.497002926133575
1.0481927710843375,40.15020262821332,37.4799679385785
1.0522088353413654,40.6635736694758,37.60101279948563
1.0562248995983936,41.15495325744132,37.840744770331256
1.0602409638554218,41.58622314200126,38.1633298613416
1.06425702811245,41.92545103628178,38.52297139225665
1.0682730923694779,42.151499187754574,38.87201281371142
1.072289156626506,42.25699942590599,39.16924634677101
1.0763052208835342,42.24922723308915,39.38697669927113
1.0803212851405624,42.14874505222751,39.51561032291464
1.0843373493975905,41.98604336070614,39.56497660823132
1.0883534136546185,41.796728735062466,39.56216177437204
1.0923694779116466,41.616039092590015,39.546248510726414
1.0963855421686748,41.4735700647447,39.56089756190009
1.100401606425703,41.38905633465741,39.64608641477092
1.104417670682731,41.369874535269304,39.83046875484252
1.108433734939759,41.41064909446311,40.125710416397744
1.1124497991967872,41.49499596260071,40.52381200741375
1.1164658634538154,41.59908815688143,40.997905644944176
1.1204819277108435,41.69642889247168,41.5064046807315
1.1244979919678715,41.76302145161825,41.999797338868255
1.1285140562248996,41.7820619465494,42.428910654048536
1.1325301204819278,41.74736196941298,42.75321126078494
1.136546184738956,41.66491947044787,42.94769994807689
1.140562248995984,41.55236339022218,43.007199247514905
1.144578313253012,41.43635023626083,42.947285417127155
1.1485943775100402,41.34833112941804,42.8016991149101
